Name,Tag,Clan,Total Wars,Last War Date,Duration
ashbutsad,#QGPYG9CVQ,ONE KINGS,3,1/10/2022,5d
Pixal,#QP00RQV0,ONE KINGS,3,1/10/2022,5d
joel22,#QLYLQRVUQ,ONE KINGS,4,1/10/2022,5d
MaggieCarter,#QLQJPL2L8,ONE KINGS,4,1/10/2022,5d
Blood Oath,#QYC2GCPGQ,ONE KINGS,2,1/10/2022,5d
Kismet_27,#Q0L0VY0PQ,ONE KINGS,2,1/10/2022,5d
*Heisman*,#QRU8U9R98,ONE KINGS,2,1/10/2022,5d
Magikarp,#QGRYV2QVC,ONE KINGS,4,1/10/2022,5d
Big Spoon,#UVQ280P,ONE KINGS,3,1/10/2022,5d
Lonnie,#QQUQJPR99,ONE KINGS,4,1/10/2022,5d
snotrocket,#Q0J80JVCL,ONE KINGS,3,1/10/2022,5d
christopherta,#QY2UVQV9U,ONE KINGS,4,1/10/2022,5d
Cosmic Monkey,#QLQ8GUVVJ,ONE KINGS,2,1/10/2022,5d
AllTheMemes,#LQR99PCQQ,ONE KINGS,3,1/10/2022,5d
39strike,#L092VV0Q,ONE KINGS,2,1/10/2022,5d
Sandip!,#2GCV29CGG,ONE KINGS,3,1/10/2022,5d
UnarmedSnowman,#QP0Y0QJY0,ONE KINGS,4,1/10/2022,5d
-l B A T A l-,#PG8V8CLVJ,ONE KINGS,3,1/10/2022,5d
Buckshot,#Q0JGLCRLY,ONE KINGS,4,1/10/2022,5d
Pixal™️,#PGJRLJG2C,ONE KINGS,3,1/10/2022,5d
xX T Xx,#QG9CGPJVC,ONE KINGS,3,1/10/2022,5d
MiketheMinion,#QYPV2C2UR,ONE KINGS,4,1/10/2022,5d
CHICKIN (2),#QLG80G890,ONE KINGS,3,1/10/2022,5d
deez,#QG0YGPRRL,ONE KINGS,3,1/10/2022,5d
Kinoko,#Q00VVVL9U,ONE KINGS,2,1/10/2022,5d
Tøxïç Šūrgë 3,#LYYPV9P09,ONE KINGS,1,1/7/2022,8d
Didrik,#8QC0222Q0,ONE KINGS,1,1/7/2022,8d
Lt. poggers,#QPLLY8QYL,ONE KINGS,2,1/7/2022,8d
Gluttony,#P9R8CY0RC,ONE KINGS,2,1/7/2022,8d
Majïn Lex,#LG0LRVLPJ,ONE KINGS,1,1/7/2022,8d
OblivionHD,#YG0JU29R8,ONE KINGS,1,1/4/2022,11d
Kiwi,#2C9LR9P2Q,ONE KINGS,1,12/8/2021,39d
X.Isle,#QG92VYP2Y,Legendary Monks,2,1/15/2022,12h
morf0wt,#QYG9PVYJP,Legendary Monks,7,1/15/2022,12h
Blood Oath,#QYC2GCPGQ,Legendary Monks,7,1/15/2022,12h
Spoon,#QJYYPPYUC,Legendary Monks,2,1/15/2022,12h
MaggieCarter,#QLQJPL2L8,Legendary Monks,9,1/15/2022,12h
Greed,#9PJ8JPRC,Legendary Monks,7,1/15/2022,12h
Pixal,#990LG8Q9R,Legendary Monks,2,1/15/2022,12h
UnarmedSnowman,#QP0Y0QJY0,Legendary Monks,11,1/15/2022,12h
Come-Stayin,#PVVP028R8,Legendary Monks,10,1/15/2022,12h
Kinoko,#Q00VVVL9U,Legendary Monks,11,1/15/2022,12h
Onahole,#8PP29PLC8,Legendary Monks,11,1/15/2022,12h
Willy,#22Q8Y2CU9,Legendary Monks,2,1/15/2022,12h
deez,#QG0YGPRRL,Legendary Monks,2,1/15/2022,12h
Elixir,#PCQVY2RUJ,Legendary Monks,7,1/15/2022,12h
NeckBoi,#QLLUCUPUG,Legendary Monks,10,1/15/2022,12h
MiketheMinion,#QYPV2C2UR,Legendary Monks,11,1/15/2022,12h
ashbutsad,#QGPYG9CVQ,Legendary Monks,2,1/15/2022,12h
joel22,#QLYLQRVUQ,Legendary Monks,11,1/15/2022,12h
Tchaba,#8GRJLLG,Legendary Monks,1,1/15/2022,12h
*Heisman*,#QRU8U9R98,Legendary Monks,7,1/15/2022,12h
Cosmic Monkey,#QLQ8GUVVJ,Legendary Monks,6,1/15/2022,12h
Mr. CoCo,#Q9VGC0CQ8,Legendary Monks,6,1/15/2022,12h
Magikarp,#QGRYV2QVC,Legendary Monks,9,1/15/2022,12h
Lust,#Q0RGRR292,Legendary Monks,7,1/15/2022,12h
Baby Dream,#LCQYULLVR,Legendary Monks,9,1/15/2022,12h
Buckshot,#Q0JGLCRLY,Legendary Monks,7,1/12/2022,3d
morfow+,#PJUVP2GUC,Legendary Monks,10,1/12/2022,3d
CHICKIN (2),#QLG80G890,Legendary Monks,8,1/12/2022,3d
BlueNxtz,#Q0L2PGVVJ,Legendary Monks,1,1/12/2022,3d
christopherta,#QY2UVQV9U,Legendary Monks,3,1/12/2022,3d
Lonnie,#QQUQJPR99,Legendary Monks,6,1/12/2022,3d
Zenrig,#LU2GGJ98Y,Legendary Monks,4,12/29/2021,18d
AllTheMemes,#LQR99PCQQ,Legendary Monks,4,12/29/2021,18d
39strike,#L092VV0Q,Legendary Monks,3,12/27/2021,20d
yobama,#QYRGV809Y,Legendary Monks,3,12/27/2021,20d
Tøxïç Šūrgë 3,#LYYPV9P09,Legendary Monks,4,12/24/2021,22d
Lt. poggers,#QPLLY8QYL,Legendary Monks,4,12/22/2021,24d
Hec,#8QLG0YVVJ,Legendary Monks,5,12/22/2021,24d
寄付者Karuko,#LV9RCGYCY,Legendary Monks,2,12/15/2021,31d
Wet Nightmare,#LQ0PGV0LJ,PETARUNG SEJATI,6,1/9/2022,7d
Artorias,#YUUYG8VQ,PETARUNG SEJATI,1,1/9/2022,7d
luca,#L09J8JPY0,PETARUNG SEJATI,6,1/9/2022,7d
Collin,#PP2L0LUL9,PETARUNG SEJATI,6,1/9/2022,7d
Envy,#2UQC92UUY,PETARUNG SEJATI,9,1/9/2022,7d
Dry Dream,#LVY9R20CR,PETARUNG SEJATI,9,1/9/2022,7d
o0o_Jerson_o0o,#PL9VLC9RP,PETARUNG SEJATI,9,1/9/2022,7d
sqwaddles,#82CLLGUGR,PETARUNG SEJATI,6,1/9/2022,7d
ZekeTheFreak,#RVYY9Q8P,PETARUNG SEJATI,9,1/9/2022,7d
